player_id,country_name
858917,"Morocco"
800365,"Morocco"
897600,"Morocco"
1033958,"Morocco"
549322,"Morocco"
1203684,"Morocco"
499511,"Morocco"
800592,"Morocco"
1060545,"Mali"
727252,"Morocco"
1309132,"Morocco"
1262530,"Morocco"
665743,"Morocco"
667972,"Morocco"
727075,"Morocco"
738953,"Morocco"
1203850,"Morocco"
820480,"Morocco"
1210182,"Morocco"
235116,"Morocco"
1422476,"Morocco"
1087382,"Morocco"
366775,"Morocco"
738071,"Senegal"
176573,"Mauritania"
717216,"Morocco"
617595,"Morocco"
1336614,"Senegal"
1210187,"Morocco"
275262,"Morocco"
1178984,"Morocco"
863506,"Morocco"
891953,"Morocco"
1172375,"Morocco"
1307857,"Morocco"
1273576,"Morocco"
1076078,"Morocco"
1302320,"Mali"
902827,"Morocco"
840930,"Morocco"
882909,"Morocco"
1002677,"Morocco"
1004272,"Morocco"
1307908,"Morocco"
321629,"Mauritania"
539612,"Cote d'Ivoire"
496570,"Morocco"
1191484,"Morocco"
683336,"Morocco"
717214,"Morocco"
240721,"Morocco"
245202,"Morocco"
836632,"Morocco"
859901,"Morocco"
203378,"Belgium"
507358,"Morocco"
1333330,"Morocco"
1303960,"Senegal"
846673,"Morocco"
660039,"Morocco"
1064714,"Spain"
1204741,"France"
77385,"Morocco"
1183709,"France"
240714,"Morocco"
461581,"Togo"
701611,"Morocco"
823072,"Morocco"
972603,"Morocco"
1307015,"France"
1416877,"Morocco"
1033957,"Morocco"
1370977,"Senegal"
1133028,"Morocco"
902834,"Morocco"
1262531,"Morocco"
1204104,"Cote d'Ivoire"
1267056,"Morocco"
530999,"Morocco"
231941,"Morocco"
1230677,"Morocco"
867271,"Morocco"
840926,"Morocco"
1043567,"Morocco"
588635,"Kenya"
720443,"Morocco"
1440454,"Morocco"
841119,"Morocco"
990144,"Morocco"
1188206,"Senegal"
1258577,"Morocco"
717223,"Morocco"
902813,"Morocco"
1269733,"Senegal"
951671,"Niger"
1048594,"Morocco"
691877,"Morocco"
841118,"Morocco"
841736,"Morocco"
1203849,"Morocco"
1410532,"Morocco"
1459207,"Morocco"
536879,"Morocco"
519245,"Morocco"
897139,"Morocco"
885446,"Morocco"
1338344,"Morocco"
1338402,"Morocco"
1338340,"Morocco"
1297881,"Morocco"
1203683,"Morocco"
1338336,"Morocco"
244921,"Morocco"
1338946,"Morocco"
1260898,"Morocco"
799020,"Morocco"
1133029,"Morocco"
1338337,"Morocco"
1203885,"Morocco"
1293625,"Morocco"
1256586,"Morocco"
1338434,"Morocco"
903847,"Morocco"
902853,"Morocco"
502657,"Morocco"
234897,"Morocco"
375626,"Morocco"
625170,"Morocco"
1260850,"Morocco"
1338341,"Morocco"
499513,"Morocco"
736943,"Morocco"
375629,"Morocco"
262895,"Netherlands"
1268379,"Morocco"
1338250,"Morocco"
902800,"Morocco"
1338253,"Morocco"
1338805,"Morocco"
1211423,"Morocco"
1207194,"Morocco"
689433,"Morocco"
949538,"Mali"
925830,"Morocco"
1207223,"Morocco"
1211503,"Morocco"
1338256,"Morocco"
1261669,"Morocco"
1229756,"Morocco"
902833,"Morocco"
1211424,"Morocco"
1274437,"Morocco"
902816,"Morocco"
1274414,"Morocco"
238120,"Morocco"
1203860,"Morocco"
733894,"Morocco"
211632,"Morocco"
859897,"Morocco"
996378,"Morocco"
1338252,"Morocco"
1173700,"Morocco"
1261753,"Morocco"
1261675,"Morocco"
1172369,"Morocco"
857712,"Morocco"
902848,"Morocco"
1338251,"Morocco"
