stat_id,player_id
"1210076_Total",1210076
"1076082_Total",1076082
"558706_Total",558706
"1274616_Total",1274616
"858917_Total",858917
"800365_Total",800365
"897600_Total",897600
"1033958_Total",1033958
"549322_Total",549322
"1203684_Total",1203684
"499511_Total",499511
"800592_Total",800592
"1060545_Total",1060545
"727252_Total",727252
"1309132_Total",1309132
"1262530_Total",1262530
"665743_Total",665743
"667972_Total",667972
"727075_Total",727075
"738953_Total",738953
"1203850_Total",1203850
"820480_Total",820480
"1210182_Total",1210182
"235116_Total",235116
"1422476_Total",1422476
"1087382_Total",1087382
"366775_Total",366775
"738071_Total",738071
"176573_Total",176573
"717216_Total",717216
"617595_Total",617595
"1336614_Total",1336614
"1210187_Total",1210187
"275262_Total",275262
"1178984_Total",1178984
"863506_Total",863506
"891953_Total",891953
"1172375_Total",1172375
"1307857_Total",1307857
"1273576_Total",1273576
"1076078_Total",1076078
"1302320_Total",1302320
"902827_Total",902827
"840930_Total",840930
"882909_Total",882909
"1002677_Total",1002677
"1004272_Total",1004272
"1307908_Total",1307908
"321629_Total",321629
"539612_Total",539612
"496570_Total",496570
"1191484_Total",1191484
"683336_Total",683336
"717214_Total",717214
"240721_Total",240721
"245202_Total",245202
"836632_Total",836632
"859901_Total",859901
"203378_Total",203378
"507358_Total",507358
"1333330_Total",1333330
"1303960_Total",1303960
"846673_Total",846673
"660039_Total",660039
"1064714_Total",1064714
"1204741_Total",1204741
"77385_Total",77385
"1183709_Total",1183709
"240714_Total",240714
"461581_Total",461581
"701611_Total",701611
"823072_Total",823072
"972603_Total",972603
"1307015_Total",1307015
"1416877_Total",1416877
"1033957_Total",1033957
"1370977_Total",1370977
"1133028_Total",1133028
"902834_Total",902834
"1262531_Total",1262531
"1204104_Total",1204104
"1267056_Total",1267056
"530999_Total",530999
"231941_Total",231941
"1230677_Total",1230677
"867271_Total",867271
"840926_Total",840926
"1043567_Total",1043567
"588635_Total",588635
"720443_Total",720443
"1440454_Total",1440454
"841119_Total",841119
"990144_Total",990144
