team_id,manager_id
37176,39485
6603,25715
2068,25901
9099,7761
6371,22587
3282,38277
79389,118754
22935,32963
22944,64518
30625,108146
74953,117784
14462,27403
12721,6722
4697,29874
103954,123343
59771,109224
11,47620
