manager_id,team_id
39485,37176
25715,6603
25901,2068
7761,9099
22587,6371
38277,3282
118754,79389
32963,22935
64518,22944
108146,30625
117784,74953
27403,14462
6722,12721
29874,4697
123343,103954
109224,59771
47620,11
