cont_id,team_id
"665738_Current",37176
"732950_Current",37176
"1110732_Current",37176
"885704_Current",37176
"599573_Current",37176
"1044891_Current",37176
"468244_Current",37176
"519192_Current",37176
"838829_Current",37176
"522302_Current",37176
"842418_Current",37176
"191407_Current",37176
"776215_Current",37176
"1091178_Current",37176
"665744_Current",37176
"847288_Current",37176
"1210200_Current",37176
"348772_Current",37176
"355641_Current",37176
"97925_Current",37176
"1165481_Current",37176
"373594_Current",37176
"836640_Current",37176
"575594_Current",37176
"868636_Current",37176
"882910_Current",37176
"146143_Current",37176
"240708_Current",6603
"667970_Current",6603
"330726_Current",6603
"800363_Current",6603
"273432_Current",6603
"441982_Current",6603
"513275_Current",6603
"728597_Current",6603
"353476_Current",6603
"245194_Current",6603
"517712_Current",6603
"1235899_Current",6603
"1330446_Current",6603
"1005645_Current",6603
"1274628_Current",6603
"342719_Current",6603
"732953_Current",6603
"217111_Current",6603
"544414_Current",6603
"1253671_Current",6603
"263951_Current",6603
"240707_Current",6603
"881744_Current",6603
"916708_Current",6603
"546225_Current",6603
"382417_Current",6603
"743585_Current",6603
"925782_Current",6603
"681691_Current",6603
"55619_Current",6603
"1311408_Current",6603
"1302206_Current",6603
"974042_Current",2068
"1150962_Current",2068
"262685_Current",2068
"822538_Current",2068
"240712_Current",2068
"617592_Current",2068
"274235_Current",2068
"241324_Current",2068
"1274436_Current",2068
"738952_Current",2068
"560873_Current",2068
"847308_Current",2068
"679259_Current",2068
"904603_Current",2068
"569755_Current",2068
"518804_Current",2068
"969934_Current",2068
"238634_Current",2068
"371606_Current",2068
"988205_Current",2068
"245193_Current",2068
"913377_Current",2068
"707310_Current",2068
"318904_Current",2068
"1079652_Current",9099
"876730_Current",9099
"711572_Current",9099
"199704_Current",9099
"507374_Current",9099
"573065_Current",9099
"859133_Current",9099
"371211_Current",9099
"553100_Current",9099
"1105266_Current",9099
"238997_Current",9099
"660041_Current",9099
"711281_Current",9099
"518802_Current",9099
"689431_Current",9099
"631508_Current",9099
"742502_Current",9099
"872090_Current",9099
"518801_Current",9099
"635927_Current",9099
"904465_Current",9099
"734155_Current",9099
"1299944_Current",9099
"1055358_Current",9099
"366744_Current",6371
"799742_Current",6371
"816064_Current",6371
"1134249_Current",6371
"738951_Current",6371
"556272_Current",6371
"844795_Current",6371
"737182_Current",6371
"593405_Current",6371
"1232068_Current",6371
"627926_Current",6371
"1055193_Current",6371
"1039603_Current",6371
"834876_Current",6371
"1150961_Current",6371
"507134_Current",6371
"1203514_Current",6371
"838828_Current",6371
"844300_Current",6371
"920971_Current",6371
"717213_Current",6371
"667994_Current",6371
"981522_Current",6371
"811084_Current",6371
"508643_Current",3282
"913361_Current",3282
"262953_Current",3282
"290768_Current",3282
"339552_Current",3282
"1091104_Current",3282
"1341102_Current",3282
"682847_Current",3282
"308265_Current",3282
"1176891_Current",3282
"1317548_Current",3282
"1176890_Current",3282
"721818_Current",3282
"863795_Current",3282
