player_id,inj_id
732950,"732950_18/09/2022"
732950,"732950_31/07/2021"
599573,"599573_19/11/2020"
468244,"468244_16/01/2024"
468244,"468244_25/11/2021"
519192,"519192_01/07/2021"
522302,"522302_10/07/2025"
842418,"842418_15/08/2025"
842418,"842418_23/02/2022"
191407,"191407_31/08/2023"
191407,"191407_26/07/2023"
191407,"191407_19/05/2023"
191407,"191407_14/01/2022"
191407,"191407_03/12/2020"
191407,"191407_15/09/2020"
191407,"191407_26/05/2015"
191407,"191407_21/05/2012"
665744,"665744_11/11/2020"
348772,"348772_04/08/2020"
355641,"355641_18/01/2023"
355641,"355641_12/01/2023"
355641,"355641_13/10/2022"
355641,"355641_12/03/2022"
355641,"355641_19/02/2022"
355641,"355641_22/02/2020"
373594,"373594_04/08/2020"
373594,"373594_30/10/2019"
575594,"575594_24/05/2024"
575594,"575594_20/04/2024"
575594,"575594_08/10/2023"
575594,"575594_23/07/2022"
146143,"146143_02/03/2021"
146143,"146143_11/01/2016"
240708,"240708_16/09/2025"
330726,"330726_18/02/2023"
330726,"330726_21/08/2022"
330726,"330726_01/08/2021"
330726,"330726_25/02/2021"
330726,"330726_24/07/2018"
330726,"330726_27/11/2017"
273432,"273432_14/04/2019"
273432,"273432_30/01/2019"
273432,"273432_02/11/2018"
273432,"273432_31/03/2018"
273432,"273432_24/02/2018"
273432,"273432_27/11/2017"
273432,"273432_24/10/2016"
273432,"273432_08/02/2016"
273432,"273432_16/07/2015"
441982,"441982_28/08/2025"
353476,"353476_03/06/2015"
517712,"517712_02/12/2025"
342719,"342719_10/08/2017"
217111,"217111_24/10/2025"
217111,"217111_09/09/2024"
217111,"217111_24/01/2024"
217111,"217111_11/01/2024"
217111,"217111_24/12/2023"
217111,"217111_02/12/2023"
217111,"217111_25/09/2023"
217111,"217111_19/08/2023"
217111,"217111_18/12/2022"
217111,"217111_22/02/2022"
217111,"217111_12/08/2021"
217111,"217111_07/12/2020"
217111,"217111_30/08/2020"
217111,"217111_16/02/2020"
217111,"217111_19/01/2020"
1253671,"1253671_19/01/2025"
1253671,"1253671_09/11/2024"
263951,"263951_03/04/2015"
240707,"240707_09/01/2023"
240707,"240707_05/01/2022"
240707,"240707_16/11/2021"
240707,"240707_18/10/2021"
240707,"240707_25/10/2013"
916708,"916708_03/02/2024"
546225,"546225_02/03/2023"
55619,"55619_21/09/2024"
55619,"55619_04/03/2024"
55619,"55619_15/11/2022"
55619,"55619_18/10/2022"
55619,"55619_16/04/2022"
55619,"55619_04/09/2020"
55619,"55619_15/06/2018"
55619,"55619_09/04/2018"
55619,"55619_30/10/2017"
55619,"55619_02/01/2017"
