player_id,cont_id
865473,"865473_None"
865473,"865473_None"
865473,"865473_None"
865473,"865473_None"
865473,"865473_None"
865473,"865473_None"
865473,"865473_None"
865473,"865473_None"
865473,"865473_None"
865473,"865473_None"
933770,"933770_None"
933770,"933770_None"
933770,"933770_None"
933770,"933770_None"
990661,"990661_None"
990661,"990661_None"
990661,"990661_None"
990661,"990661_None"
990661,"990661_None"
990661,"990661_None"
990661,"990661_None"
990661,"990661_None"
359290,"359290_None"
359290,"359290_None"
359290,"359290_None"
359290,"359290_None"
359290,"359290_None"
359290,"359290_None"
359290,"359290_None"
359290,"359290_None"
1155867,"1155867_None"
1155867,"1155867_None"
1155867,"1155867_None"
1155867,"1155867_None"
1155867,"1155867_None"
1155867,"1155867_None"
1155867,"1155867_None"
1155867,"1155867_None"
249437,"249437_None"
249437,"249437_None"
249437,"249437_None"
249437,"249437_None"
249437,"249437_None"
249437,"249437_None"
249437,"249437_None"
249437,"249437_None"
249437,"249437_None"
249437,"249437_None"
894744,"894744_None"
894744,"894744_None"
894744,"894744_None"
894744,"894744_None"
894744,"894744_None"
894744,"894744_None"
894744,"894744_None"
894744,"894744_None"
894744,"894744_None"
894744,"894744_None"
27714,"27714_None"
27714,"27714_None"
27714,"27714_None"
27714,"27714_None"
27714,"27714_None"
27714,"27714_None"
27714,"27714_None"
27714,"27714_None"
27714,"27714_None"
27714,"27714_None"
27714,"27714_None"
27714,"27714_None"
27714,"27714_None"
27714,"27714_None"
27714,"27714_None"
27714,"27714_None"
27714,"27714_None"
27714,"27714_None"
27714,"27714_None"
1382913,"1382913_None"
1382913,"1382913_None"
340547,"340547_None"
340547,"340547_None"
340547,"340547_None"
340547,"340547_None"
340547,"340547_None"
340547,"340547_None"
340547,"340547_None"
340547,"340547_None"
340547,"340547_None"
340547,"340547_None"
340547,"340547_None"
340547,"340547_None"
340547,"340547_None"
340547,"340547_None"
1199422,"1199422_None"
359278,"359278_None"
359278,"359278_None"
359278,"359278_None"
359278,"359278_None"
359278,"359278_None"
359278,"359278_None"
359278,"359278_None"
359278,"359278_None"
359278,"359278_None"
359278,"359278_None"
1140890,"1140890_None"
1140890,"1140890_None"
1140890,"1140890_None"
340511,"340511_None"
340511,"340511_None"
340511,"340511_None"
340511,"340511_None"
340511,"340511_None"
340511,"340511_None"
340511,"340511_None"
1095732,"1095732_None"
1095732,"1095732_None"
1210560,"1210560_None"
1210560,"1210560_None"
1210560,"1210560_None"
1210560,"1210560_None"
1863859,"1863859_None"
880101,"880101_None"
880101,"880101_None"
880101,"880101_None"
880101,"880101_None"
880101,"880101_None"
880101,"880101_None"
2142026,"2142026_None"
2142026,"2142026_None"
973826,"973826_None"
973826,"973826_None"
973826,"973826_None"
973826,"973826_None"
973826,"973826_None"
973826,"973826_None"
973826,"973826_None"
973826,"973826_None"
973826,"973826_None"
973826,"973826_None"
973826,"973826_None"
1140872,"1140872_None"
1140872,"1140872_None"
965329,"965329_None"
965329,"965329_None"
965329,"965329_None"
965329,"965329_None"
965329,"965329_None"
965329,"965329_None"
965329,"965329_None"
809290,"809290_None"
809290,"809290_None"
809290,"809290_None"
809290,"809290_None"
809290,"809290_None"
809290,"809290_None"
809290,"809290_None"
1009188,"1009188_None"
1009188,"1009188_None"
1009188,"1009188_None"
1009188,"1009188_None"
970606,"970606_None"
970606,"970606_None"
970606,"970606_None"
970606,"970606_None"
970606,"970606_None"
1845545,"1845545_None"
1845545,"1845545_None"
970630,"970630_None"
970630,"970630_None"
970630,"970630_None"
970630,"970630_None"
970630,"970630_None"
1140796,"1140796_None"
1140796,"1140796_None"
1140796,"1140796_None"
1140796,"1140796_None"
2021713,"2021713_None"
2021713,"2021713_None"
2021713,"2021713_None"
919739,"919739_None"
919739,"919739_None"
919739,"919739_None"
919739,"919739_None"
919739,"919739_None"
919739,"919739_None"
919739,"919739_None"
919739,"919739_None"
971037,"971037_None"
971037,"971037_None"
971037,"971037_None"
971037,"971037_None"
971037,"971037_None"
971037,"971037_None"
986397,"986397_None"
986397,"986397_None"
986397,"986397_None"
986397,"986397_None"
986397,"986397_None"
1004433,"1004433_None"
1004433,"1004433_None"
1004433,"1004433_None"
1004433,"1004433_None"
1004433,"1004433_None"
1474715,"1474715_None"
1474715,"1474715_None"
1474715,"1474715_None"
919681,"919681_None"
919681,"919681_None"
919681,"919681_None"
919681,"919681_None"
919681,"919681_None"
919681,"919681_None"
1094481,"1094481_None"
1094481,"1094481_None"
1407116,"1407116_None"
1407116,"1407116_None"
919489,"919489_None"
919489,"919489_None"
919489,"919489_None"
919489,"919489_None"
919489,"919489_None"
1476706,"1476706_None"
1476706,"1476706_None"
1476706,"1476706_None"
1476706,"1476706_None"
1476706,"1476706_None"
978955,"978955_None"
978955,"978955_None"
978955,"978955_None"
919533,"919533_None"
919533,"919533_None"
919533,"919533_None"
919533,"919533_None"
919533,"919533_None"
919533,"919533_None"
919533,"919533_None"
919533,"919533_None"
919533,"919533_None"
919533,"919533_None"
919533,"919533_None"
919533,"919533_None"
1008872,"1008872_None"
1008872,"1008872_None"
1416474,"1416474_None"
1416474,"1416474_None"
1416474,"1416474_None"
1008631,"1008631_None"
1008631,"1008631_None"
1402635,"1402635_None"
1402635,"1402635_None"
1402635,"1402635_None"
1402635,"1402635_None"
1402635,"1402635_None"
1402635,"1402635_None"
1894253,"1894253_None"
1894253,"1894253_None"
1894253,"1894253_None"
1894253,"1894253_None"
1894253,"1894253_None"
1894253,"1894253_None"
178721,"178721_None"
178721,"178721_None"
178721,"178721_None"
178721,"178721_None"
178721,"178721_None"
178721,"178721_None"
178721,"178721_None"
1518450,"1518450_None"
1518450,"1518450_None"
1518450,"1518450_None"
1518450,"1518450_None"
919477,"919477_None"
919477,"919477_None"
923882,"923882_None"
923882,"923882_None"
923882,"923882_None"
923882,"923882_None"
923882,"923882_None"
1444497,"1444497_None"
1444497,"1444497_None"
1008347,"1008347_None"
1008347,"1008347_None"
2046059,"2046059_None"
2046059,"2046059_None"
2046059,"2046059_None"
2046059,"2046059_None"
2046059,"2046059_None"
2127597,"2127597_None"
359280,"359280_None"
359280,"359280_None"
359280,"359280_None"
359280,"359280_None"
359280,"359280_None"
