stat_id,player_id
"865473_1115_80446",865473
"865473_1115_44969",865473
"865473_1115_38395",865473
"933770_1115_80446",933770
"933770_937_78750",933770
"933770_937_65433",933770
"990661_1115_80446",990661
"990661_1115_53523",990661
"990661_1115_44969",990661
"359290_937_78750",359290
"359290_937_54108",359290
"359290_808_68147",359290
"1155867_1054_38336",1155867
"1155867_937_65433",1155867
"249437_14627_74802",249437
"249437_13_56249",249437
"249437_52_63814",249437
"894744_1115_80446",894744
"894744_1115_38395",894744
"894744_1115_34873",894744
"27714_1115_80446",27714
"27714_937_78750",27714
"27714_357_69619",27714
"1382913_937_65433",1382913
"1382913_92_56974",1382913
"1382913_92_47664",1382913
"340547_937_65433",340547
"340547_136_54447",340547
"340547_463_52561",340547
"1199422_937_65433",1199422
"1199422_10772_57249",1199422
"1199422_10772_47811",1199422
"359278_1115_80446",359278
"359278_937_78750",359278
"359278_937_65433",359278
"1140890_1115_80446",1140890
"1140890_937_78750",1140890
"1140890_937_65433",1140890
"340511_1115_80446",340511
"340511_937_78750",340511
"340511_937_65433",340511
"1095732_937_78750",1095732
"1095732_937_65433",1095732
"1095732_937_54108",1095732
"1210560_1115_80446",1210560
"1210560_937_78750",1210560
"1210560_937_65433",1210560
"1863859_937_78750",1863859
"1863859_937_65433",1863859
"1863859_13363_57319",1863859
"880101_1115_80446",880101
"880101_937_65433",880101
"880101_937_54108",880101
"2142026_937_78750",2142026
"2142026_937_65433",2142026
"973826_1115_80446",973826
"973826_937_78750",973826
"973826_357_69619",973826
"1140872_1115_80446",1140872
"1140872_1115_44969",1140872
"1140872_937_78750",1140872
"965329_1115_80446",965329
"965329_937_78750",965329
"965329_182_77357",965329
"809290_1115_80446",809290
"809290_937_78750",809290
"809290_357_69619",809290
"1009188_1115_80446",1009188
"1009188_937_78750",1009188
"1009188_937_54108",1009188
"970606_1115_80446",970606
"970606_937_78750",970606
"970606_937_65433",970606
"1845545_937_65433",1845545
"1845545_937_54108",1845545
"970630_1115_80446",970630
"970630_937_78750",970630
"970630_937_65433",970630
"1140796_937_65433",1140796
"1140796_937_54108",1140796
"1140796_1054_53661",1140796
"2021713_937_65433",2021713
"919739_937_65433",919739
"919739_2120_63548",919739
"919739_955_37597",919739
"971037_17_76986",971037
"971037_17_61627",971037
"971037_17_52186",971037
"986397_17_76986",986397
"986397_11_69427",986397
"986397_11_35021",986397
"1004433_1054_80447",1004433
"1004433_1054_64021",1004433
"1004433_1054_53661",1004433
"1474715_1054_80447",1474715
"1474715_937_78750",1474715
"1474715_937_65433",1474715
"919681_1054_80447",919681
"919681_1054_44968",919681
"919681_937_78750",919681
"1094481_1054_80447",1094481
"1094481_937_78750",1094481
"1094481_984_65503",1094481
"919489_1054_80447",919489
"919489_1054_64021",919489
"919489_937_78750",919489
"1476706_1054_80447",1476706
"1476706_1054_64021",1476706
"1476706_937_78750",1476706
"978955_1054_80447",978955
"978955_1054_64021",978955
"978955_937_78750",978955
"919533_1054_80447",919533
"919533_1054_64021",919533
"919533_937_78750",919533
"1008872_1054_80447",1008872
