cont_id,associated_id,type
"1894253_None",1894253,Player
"1894253_None",1894253,Player
"1894253_None",1894253,Player
"1894253_None",1894253,Player
"1894253_None",1894253,Player
"1894253_None",1894253,Player
"178721_None",178721,Player
"178721_None",178721,Player
"178721_None",178721,Player
"178721_None",178721,Player
"178721_None",178721,Player
"178721_None",178721,Player
"178721_None",178721,Player
"1518450_None",1518450,Player
"1518450_None",1518450,Player
"1518450_None",1518450,Player
"1518450_None",1518450,Player
"919477_None",919477,Player
"919477_None",919477,Player
"923882_None",923882,Player
"923882_None",923882,Player
"923882_None",923882,Player
"923882_None",923882,Player
"923882_None",923882,Player
"1444497_None",1444497,Player
"1444497_None",1444497,Player
"1008347_None",1008347,Player
"1008347_None",1008347,Player
"2046059_None",2046059,Player
"2046059_None",2046059,Player
"2046059_None",2046059,Player
"2046059_None",2046059,Player
"2046059_None",2046059,Player
"2127597_None",2127597,Player
"359280_None",359280,Player
"359280_None",359280,Player
"359280_None",359280,Player
"359280_None",359280,Player
"359280_None",359280,Player
"359280_None",359280,Player
"359280_None",359280,Player
"359280_None",359280,Player
"359280_None",359280,Player
"359280_None",359280,Player
"359280_None",359280,Player
"1401592_None",1401592,Player
"1401592_None",1401592,Player
"1401592_None",1401592,Player
"1168800_None",1168800,Player
"1168800_None",1168800,Player
"1168800_None",1168800,Player
"1168800_None",1168800,Player
"1168800_None",1168800,Player
"1168800_None",1168800,Player
"1168800_None",1168800,Player
"1500985_None",1500985,Player
"1500985_None",1500985,Player
"961690_None",961690,Player
"961690_None",961690,Player
"961690_None",961690,Player
"961690_None",961690,Player
"961690_None",961690,Player
"961690_None",961690,Player
"544156_None",544156,Player
"544156_None",544156,Player
"544156_None",544156,Player
"544156_None",544156,Player
"544156_None",544156,Player
"544156_None",544156,Player
"544156_None",544156,Player
"544156_None",544156,Player
"544156_None",544156,Player
"944009_None",944009,Player
"944009_None",944009,Player
"944009_None",944009,Player
"944009_None",944009,Player
"944009_None",944009,Player
"944009_None",944009,Player
"944009_None",944009,Player
"944009_None",944009,Player
"944009_None",944009,Player
"944009_None",944009,Player
"374560_None",374560,Player
"374560_None",374560,Player
"374560_None",374560,Player
"374560_None",374560,Player
"374560_None",374560,Player
"374560_None",374560,Player
"374560_None",374560,Player
"374560_None",374560,Player
"374560_None",374560,Player
"374560_None",374560,Player
"374560_None",374560,Player
"374560_None",374560,Player
"1545316_None",1545316,Player
"1545316_None",1545316,Player
"1528418_None",1528418,Player
"1528418_None",1528418,Player
"919329_None",919329,Player
"919329_None",919329,Player
"919329_None",919329,Player
"919329_None",919329,Player
"919329_None",919329,Player
"919329_None",919329,Player
"919329_None",919329,Player
"1140935_None",1140935,Player
"1140935_None",1140935,Player
"1140855_None",1140855,Player
"1140855_None",1140855,Player
"1461681_None",1461681,Player
"1461681_None",1461681,Player
"1461320_None",1461320,Player
"1613042_None",1613042,Player
"1482836_None",1482836,Player
"1482836_None",1482836,Player
"1482836_None",1482836,Player
"812947_None",812947,Player
"812947_None",812947,Player
"812947_None",812947,Player
"812947_None",812947,Player
"812947_None",812947,Player
"812947_None",812947,Player
"812947_None",812947,Player
"812947_None",812947,Player
"812947_None",812947,Player
"812947_None",812947,Player
"812947_None",812947,Player
"812947_None",812947,Player
"812947_None",812947,Player
"812947_None",812947,Player
"812947_None",812947,Player
"1008599_None",1008599,Player
