id,start_date,end_date,transfer_fee,salary,release_clause
"919681_None",,None,0,None,None
"919681_None",,None,0,None,None
"919681_None",,None,121000,None,None
"919681_None",,None,0,None,None
"919681_None",,None,0,None,None
"919681_None",,None,0,None,None
"1094481_None",,None,0,None,None
"1094481_None",,None,0,None,None
"1407116_None",,None,,None,None
"1407116_None",,None,0,None,None
"919489_None",,None,0,None,None
"919489_None",,None,0,None,None
"919489_None",,None,0,None,None
"919489_None",,None,0,None,None
"919489_None",,None,0,None,None
"1476706_None",,None,0,None,None
"1476706_None",,None,0,None,None
"1476706_None",,None,0,None,None
"1476706_None",,None,0,None,None
"1476706_None",,None,0,None,None
"978955_None",,None,0,None,None
"978955_None",,None,0,None,None
"978955_None",,None,0,None,None
"919533_None",,None,0,None,None
"919533_None",,None,0,None,None
"919533_None",,None,0,None,None
"919533_None",,None,0,None,None
"919533_None",,None,0,None,None
"919533_None",,None,0,None,None
"919533_None",,None,0,None,None
"919533_None",,None,0,None,None
"919533_None",,None,350000,None,None
"919533_None",,None,0,None,None
"919533_None",,None,0,None,None
"919533_None",,None,0,None,None
"1008872_None",,None,0,None,None
"1008872_None",,None,0,None,None
"1416474_None",,None,0,None,None
"1416474_None",,None,0,None,None
"1416474_None",,None,0,None,None
"1008631_None",,None,172000,None,None
"1008631_None",,None,0,None,None
"1402635_None",,None,0,None,None
"1402635_None",,None,0,None,None
"1402635_None",,None,0,None,None
"1402635_None",,None,0,None,None
"1402635_None",,None,0,None,None
"1402635_None",,None,0,None,None
"1894253_None",,None,0,None,None
"1894253_None",,None,0,None,None
"1894253_None",,None,0,None,None
"1894253_None",,None,0,None,None
"1894253_None",,None,0,None,None
"1894253_None",,None,0,None,None
"178721_None",,None,0,None,None
"178721_None",,None,0,None,None
"178721_None",,None,0,None,None
"178721_None",,None,0,None,None
"178721_None",,None,0,None,None
"178721_None",,None,0,None,None
"178721_None",,None,0,None,None
"1518450_None",,None,0,None,None
"1518450_None",,None,0,None,None
"1518450_None",,None,0,None,None
"1518450_None",,None,0,None,None
