id,season,matches_played,goals,assists,yellow_cards,red_cards,clean_sheets,win_rate,possession,passing_accuracy,shots_per_game,rating
"1009188_937_78750","Botola Pro 25/26",,0,0,4,0,,,,82.82,,7.0142857142857
"1009188_937_54108","Botola Pro 23/24",,1,1,6,3,,,,81.53,,7.0611111111111
"970606_1115_80446","CAF Confederations Cup 25/26",,1,0,0,0,,,0,89.719626168224,,7.65
"970606_937_78750","Botola Pro 25/26",,0,0,1,0,,,,77.64,,6.9571428571429
"970606_937_65433","Botola Pro 24/25",,0,1,5,0,,,,80.37,,6.9368421052632
"1845545_937_65433","Botola Pro 24/25",,0,0,4,0,,,,93.75,,6.3666666666667
"1845545_937_54108","Botola Pro 23/24",,0,0,0,0,,,,0,,6.4
"970630_1115_80446","CAF Confederations Cup 25/26",,0,0,1,0,,,0,74.324324324324,,6.55
"970630_937_78750","Botola Pro 25/26",,0,0,2,0,,,,90.76,,7.2142857142857
"970630_937_65433","Botola Pro 24/25",,0,0,1,0,,,,87.83,,7.0466666666667
"1140796_937_65433","Botola Pro 24/25",,0,0,3,0,,,,86.13,,6.975
"1140796_937_54108","Botola Pro 23/24",,0,0,2,0,,,,84.77,,6.9222222222222
"1140796_1054_53661","CAF Champions League 23/24",,0,0,3,0,,,0,56.521739130435,,6.84
"2021713_937_65433","Botola Pro 24/25",,0,0,0,0,,,,85,,6.8
"919739_937_65433","Botola Pro 24/25",,0,0,0,0,,,,85.51,,6.65
"919739_2120_63548","Saudi 1st Division 24/25",,0,0,2,0,,,,81.85,,6.9769230769231
"919739_955_37597","Saudi Pro League 21/22",,0,0,2,0,,,0,60.591133004926,,6.8666666666667
"971037_17_76986","Premier League 25/26",,1,2,1,0,,,5,86.787564766839,,6.9666666666667
"971037_17_61627","Premier League 24/25",,8,6,5,0,,,29,85.948477751756,,7.4153846153846
"971037_17_52186","Premier League 23/24",,1,1,1,0,,,1,88.023952095808,,6.9444444444444
"986397_17_76986","Premier League 25/26",,2,1,1,0,,,1,64.705882352941,,6.5636363636364
"986397_11_69427","World Cup Qual. UEFA 2026",,0,0,0,0,,,1,70.769230769231,,6.775
"986397_11_35021","World Cup Qual. UEFA 2022",,1,,0,0,,,2,78.43137254902,,6.64
"1004433_1054_80447","CAF Champions League 25/26",,0,0,0,0,,,1,82.352941176471,,6.65
"1004433_1054_64021","CAF Champions League 24/25",,0,0,0,0,,,1,78.378378378378,,6.7666666666667
"1004433_1054_53661","CAF Champions League 23/24",,0,0,0,0,,,1,86,,6.8142857142857
"1474715_1054_80447","CAF Champions League 25/26",,1,0,0,0,,,0,73.333333333333,,7
"1474715_937_78750","Botola Pro 25/26",,0,1,1,0,,,,86.44,,6.74
"1474715_937_65433","Botola Pro 24/25",,0,0,0,0,,,,50,,6.4
"919681_1054_80447","CAF Champions League 25/26",,0,0,1,0,,,0,66.666666666667,,6.4
"919681_1054_44968","CAF Champions League 22/23",,5,1,0,0,,,5,70.629370629371,,7.3428571428571
"919681_937_78750","Botola Pro 25/26",,0,1,0,0,,,,71.88,,6.6875
"1094481_1054_80447","CAF Champions League 25/26",,0,0,0,0,,,0,80,,6.7
"1094481_937_78750","Botola Pro 25/26",,0,2,0,0,,,,86.67,,6.8
"1094481_984_65503","Tunisian Ligue Professionnelle 1 24/25",,2,1,2,0,,,,,,
"919489_1054_80447","CAF Champions League 25/26",,0,0,0,0,,,0,89.830508474576,,6.55
"919489_1054_64021","CAF Champions League 24/25",,1,1,3,0,,,2,88.020833333333,,7.0714285714286
"919489_937_78750","Botola Pro 25/26",,5,1,1,0,,,,90.43,,7.7125
"1476706_1054_80447","CAF Champions League 25/26",,0,0,0,0,,,0,72.727272727273,,6.45
"1476706_1054_64021","CAF Champions League 24/25",,2,1,0,0,,,7,79.584775086505,,7.05
"1476706_937_78750","Botola Pro 25/26",,1,1,1,0,,,,86.84,,7.1
"978955_1054_80447","CAF Champions League 25/26",,0,0,0,0,,,2,64.705882352941,,6.45
"978955_1054_64021","CAF Champions League 24/25",,1,3,0,0,,,1,70.909090909091,,6.85
"978955_937_78750","Botola Pro 25/26",,4,1,0,0,,,,68.75,,7.7833333333333
"919533_1054_80447","CAF Champions League 25/26",,0,0,0,0,,,1,85.714285714286,,6.9
"919533_1054_64021","CAF Champions League 24/25",,1,1,0,0,,,1,69.014084507042,,6.575
"919533_937_78750","Botola Pro 25/26",,0,1,0,0,,,,79.64,,6.8375
"1008872_1054_80447","CAF Champions League 25/26",,0,0,0,0,,,0,86.666666666667,,6.65
"1008872_1054_64021","CAF Champions League 24/25",,1,0,2,0,,,2,78.787878787879,,6.825
"1008872_937_78750","Botola Pro 25/26",,0,0,0,0,,,,0,,7
