id,name,age,nationality,jerseyNumber,height,weight,preferred_foot,preferred_positions,market_value,overall_rating,minutes_played
2051799,"Ayman Mellali",,,69,,None,,"",,None,None
2268625,"Saad Nassik",22,,32,,None,,"",,None,None
2268627,"Amine Balich",22,"Morocco",25,,None,,"",,None,None
1063163,"Walid Jarmouni",25,"France",9,189,None,"Left","F",410000,None,None
2003720,"Baba Ilou",20,"Cameroon",17,185,None,"Right","F",230000,None,None
1140842,"Aziz Kaidi",29,"Morocco",17,183,None,"Right","F",195000,None,None
1597138,"Mohamed Amine Katiba",19,"Morocco",20,181,None,"Right","M",590000,None,None
972819,"Rodrigue Kossi",25,"Benin",16,179,None,"Right","M",240000,None,None
1597137,"Mehdi Akoumi",19,"Morocco",32,172,None,"Right","M",130000,None,None
1182630,"Mohamed Bakhkhach",23,"Morocco",7,,None,"Right","M",410000,None,None
864774,"Jose Dembi",30,"Congo Republic",95,184,None,"Right","M",290000,None,None
997190,"Ayoub Yousfi Amkadmi",22,"Spain",11,179,None,"Left","M",,None,None
372340,"Ange-Freddy Plumain",30,"Guadeloupe",15,182,None,"Right","M",345000,None,None
1947611,"Hamza Moumadi",20,"Morocco",13,,None,"Right","M",27000,None,None
1461782,"Zakaria Ami",23,"Morocco",8,176,None,"Right","M",390000,None,None
1182631,"Fahd Bendahmane",24,"Morocco",33,174,None,"Both","M",275000,None,None
1013197,"Jalal Tachtach",31,"Morocco",5,174,None,"Right","M",415000,None,None
1140799,"Abdallah Boukhanfer",27,"Morocco",10,185,None,"Left","M",260000,None,None
1525286,"Abdellah Ait Brayim",22,"Morocco",14,,None,"Left","M",115000,None,None
1140843,"Badreddine Octobre",19,"Morocco",3,178,None,"Right","M",,None,None
1140843,"Badreddine Octobre",19,"Morocco",3,178,None,"Right","M",,None,None
1866207,"Hamza El Belghyty",20,"Morocco",16,170,None,"Right","M",,None,None
2065684,"Mehdi Akoumi",19,"Morocco",32,,None,,"M",,None,None
975173,"Euclides Cabral",26,"Portugal",19,178,None,"Right","D",380000,None,None
1634303,"Zakary Lamgahez",22,"France",18,185,None,"Right","D",145000,None,None
1592863,"Assane Beye",25,"Senegal",25,180,None,"Left","D",385000,None,None
988630,"Nassim Ouammou",32,"France",21,182,None,"Right","D",185000,None,None
1990600,"Ayman Tarrazi",20,"Morocco",27,180,None,"Right","D",,None,None
1008871,"Soulaiman El Amrani",28,"Morocco",30,181,None,,"D",410000,None,None
1655428,"Ismail Hrila",21,"Morocco",34,189,None,"Right","D",135000,None,None
1937706,"Youness El Amali",21,"Morocco",36,177,None,"Left","D",,None,None
2046419,"Akram Haimoud",21,"Morocco",30,179,None,"Right","D",,None,None
1606005,"Ilyass Motik",20,"Morocco",31,192,None,"Right","G",96000,None,None
1463237,"Badreddine Abyir",27,"Morocco",61,,None,"Left","G",340000,None,None
1089964,"Hicham El Mejhed",35,"Morocco",65,193,None,"Right","G",140000,None,None
1984507,"Hisham El Majhad",,"Morocco",65,,None,,"G",,None,None
2012060,"Anis Zouagui",,,22,,None,,"",,None,None
2143879,"Souali Nasallah",,"Morocco",46,,None,,"",,None,None
1937707,"Ayoub Kazbat",,,31,,None,,"",,None,None
1923951,"Ali El  Moussia",,,19,,None,,"",,None,None
2169554,"Younes El Bahraoui",20,"Morocco",47,180,None,"Right","F",245000,None,None
141072,"Khalid Boutaïb",38,"Morocco",10,190,None,"Right","F",120000,None,None
1484767,"Hamza Founti",25,"Morocco",7,,None,"Left","F",,None,None
1870410,"Souleymane Cissé",25,"Senegal",18,182,None,"Right","F",81000,None,None
1525303,"Ibrahim El Omari",29,"Morocco",,190,None,"Right","F",23000,None,None
1099412,"Ousseni Badamassi",28,"Niger",18,,None,,"M",49000,None,None
919954,"Youssef Zghoudi",33,"Morocco",17,182,None,"Both","M",230000,None,None
1140943,"Oussama Mahrous",30,"Morocco",5,,None,,"M",240000,None,None
1140945,"Hamza El Janati",26,"Morocco",6,183,None,"Right","M",515000,None,None
1596891,"Gnolou Claude",23,"Côte d'Ivoire",35,170,None,"Right","M",385000,None,None
1471617,"Ismail Mihrab",29,"Morocco",19,173,None,"Left","M",360000,None,None
1592653,"Oussama Haffari",26,"Morocco",99,170,None,"Left","M",,None,None
1488437,"Youssef Riani",27,"Morocco",24,186,None,"Left","M",105000,None,None
1170665,"Nadir  Lougmani",23,"Morocco",77,173,None,,"M",230000,None,None
1140927,"Saleh Al Sellami",29,"Morocco",11,,None,"Right","M",180000,None,None
1494677,"Khalil Tamrani",24,"Morocco",8,,None,,"M",,None,None
1006303,"Johnstone Omurwa",27,"Kenya",55,183,None,"Right","D",465000,None,None
1655335,"Ismail Gazaoui",27,"Morocco",2,,None,,"D",,None,None
1008879,"Jawad Khallouki",27,"Morocco",,174,None,"Left","D",24000,None,None
1408170,"Mohamed Elabdi",28,"Morocco",31,180,None,"Left","D",140000,None,None
1160527,"Salifou Massoudi",21,"Niger",,,None,"Both","D",,None,None
1538716,"Mouhamed Wele",23,"Senegal",,187,None,"Left","D",,None,None
2169552,"Mohamed Benhita",19,"Morocco",4,188,None,,"D",,None,None
1413546,"Ismail El Alami",25,"Morocco",44,190,None,"Right","D",,None,None
1009910,"Jad Assouab",30,"Morocco",15,189,None,"Right","D",345000,None,None
1519084,"Hamza Fassoukh",26,"Morocco",26,175,None,"Right","D",,None,None
2294929,"Redouane Mennioui",26,"Morocco",13,,None,,"D",,None,None
2267001,"Akram  El Hamdaoui",30,"Morocco",12,,None,,"D",170000,None,None
2293695,"Hamza Smaali",26,"Morocco",14,,None,,"D",,None,None
1140875,"Mohamed Jemjami",26,"Morocco",22,188,None,"Right","G",140000,None,None
919662,"Mohamed Baayou",32,"Morocco",1,185,None,"Right","G",52000,None,None
2162072,"Anass Rachak",18,"Morocco",,190,None,"Right","G",,None,None
2169549,"Naoufal  Ait Oubna",,"Morocco",37,,None,,"G",,None,None
1095725,"Ayoub Mouloua",23,"Morocco",9,183,None,"Right","F",670000,None,None
1416350,"Mohamed El Badoui",26,"Morocco",17,184,None,"Right","F",280000,None,None
1471574,"Ali El Harrak",28,"Morocco",30,,None,"Both","F",290000,None,None
1605031,"Arthur Gitego",23,"Rwanda",66,190,None,,"F",46000,None,None
1020959,"Amine Souane",24,"Morocco",14,182,None,"Right","M",1000000,None,None
1140870,"Ismail Moutaraji",25,"Morocco",5,180,None,"Left","M",320000,None,None
1855780,"Anas El Makkaoui",20,"Morocco",16,181,None,"Right","M",130000,None,None
1140933,"Chouaib Faidi",26,"Morocco",7,175,None,"Right","M",230000,None,None
1004248,"Anas Serrhat",29,"Morocco",5,178,None,"Right","M",800000,None,None
1140934,"Salaheddine Benyachou",26,"Morocco",10,168,None,"Right","M",185000,None,None
919485,"Lamine Diakité",34,"Côte d'Ivoire",11,184,None,"Left","M",315000,None,None
1655612,"Soufiane Et Tazi",21,"Morocco",49,181,None,"Right","M",580000,None,None
1021152,"Oussama Raoui",23,"Morocco",26,176,None,"Right","M",245000,None,None
1022302,"Abdessamad Mahir",28,"Morocco",8,176,None,"Right","M",675000,None,None
1112763,"Amine Farhane",27,"Morocco",15,189,None,"Right","D",260000,None,None
1461307,"Yassine Amhih",22,"Morocco",4,,None,"Right","D",420000,None,None
1015235,"Oussama Soukhane",26,"Morocco",47,179,None,"Left","D",630000,None,None
970834,"Houdaifa El Mahasni",26,"Morocco",22,165,None,"Right","D",670000,None,None
919942,"Amine El Msane",31,"Morocco",3,,None,"Left","D",580000,None,None
1140857,"Mouad Bahsain",26,"Morocco",6,180,None,"Left","D",430000,None,None
1140958,"Moncef Amri",32,"Morocco",33,180,None,"Left","D",295000,None,None
2038163,"Abdesalem Achnab",,,32,,None,,"D",,None,None
919749,"Ayoub Lakred",29,"Morocco",36,188,None,"Right","G",380000,None,None
1212072,"Rachid Ghanimi",23,"Morocco",1,189,None,,"G",360000,None,None
1597135,"Taha Benrhozil",19,"Morocco",12,182,None,"Right","G",215000,None,None
2142460,"Imrane Sadiki",19,"Morocco",68,,None,,"G",,None,None
2351784,"Walid El Hani",,,25,,None,,"",,None,None
1112630,"Ilyas Bougafer",22,"Morocco",,182,None,"Right","F",,None,None
919685,"Anas Jabroun",28,"Morocco",11,169,None,"Right","F",69000,None,None
1525309,"Mehdi Balouk",30,"Morocco",2,,None,,"F",195000,None,None
2267315,"Brahim Mansouri",29,"Morocco",21,,None,"Right","F",185000,None,None
2267314,"Mouhcine Boussanane",33,"Morocco",9,182,None,"Right","F",77000,None,None
2267339,"Saad Salih",22,"Morocco",,183,None,"Left","F",,None,None
281093,"Soufyan Ahannach",30,"Netherlands",23,173,None,"Right","M",310000,None,None
919770,"Zakaria Fati",33,"Morocco",7,176,None,"Right","M",235000,None,None
2267305,"Jalal-Eddine El Khfiyef",25,"Morocco",10,165,None,"Left","M",170000,None,None
2267304,"Adil Khalloufi",26,"Morocco",33,,None,,"M",180000,None,None
1401968,"Ayoub Bouadli",26,"Morocco",6,173,None,"Right","M",,None,None
2267331,"Fahd El Kaaba",21,"Morocco",77,,None,,"M",,None,None
2267337,"Moad Kharjan",28,"Morocco",5,,None,,"M",24000,None,None
2267307,"Youssef Legnibi",30,"Morocco",16,183,None,"Both","M",24000,None,None
2267308,"Mohamed Ahayaoui",23,"Morocco",19,,None,,"M",,None,None
2267327,"Anas Alami Harraki",21,"Morocco",,180,None,"Both","M",,None,None
2267329,"Anas Lagziri",31,"Morocco",,,None,,"M",,None,None
2267334,"Ibrahim Boumalk",27,"Morocco",,,None,"Left","M",,None,None
1014435,"Zouhair Marour",30,"Morocco",28,182,None,"Left","D",675000,None,None
1020321,"Yassine Moursil",27,"Morocco",3,184,None,"Right","D",120000,None,None
2267303,"Nassim Azzoubairi",30,"Morocco",8,,None,,"D",190000,None,None
