id,name,age,nationality,jerseyNumber,height,weight,preferred_foot,preferred_positions,market_value,overall_rating,minutes_played
944009,"Kabelo Seakanyeng",32,"Botswana",7,171,None,"Right","M",390000,None,None
374560,"Amine Oudrhiri",33,"Morocco",95,184,None,"Right","M",265000,None,None
1545316,"Noureddine Oussama",24,"Morocco",6,180,None,"Right","M",440000,None,None
1528418,"Youssef Dalouzi",23,"Morocco",77,181,None,"Right","M",185000,None,None
919329,"Achraf Harmach",32,"Morocco",8,176,None,"Right","M",530000,None,None
1140935,"El Habib Brija",25,"Morocco",27,,None,,"M",340000,None,None
1140855,"Hamza Afsal",29,"Morocco",2,184,None,"Both","M",485000,None,None
1461681,"Nizar Guessous",21,"Morocco",23,174,None,"Left","M",,None,None
1461320,"Mohamed Loumim",24,"Morocco",24,,None,,"M",,None,None
1613042,"Issa M'bareck",21,"Mauritania",13,,None,,"M",,None,None
1482836,"Benjamin Tanimu",23,"Nigeria",28,175,None,"Right","D",245000,None,None
812947,"Kevin Yamga",29,"France",17,187,None,"Right","D",720000,None,None
1008599,"Abdelilah Madkour",25,"Morocco",29,,None,"Right","D",360000,None,None
826571,"Zakaria Hamadi",27,"Italy",3,175,None,"Left","D",285000,None,None
1004523,"Hamza Ait Allal",24,"Morocco",22,184,None,"Right","D",370000,None,None
316583,"Adil Rhaili",34,"Morocco",13,192,None,"Left","D",130000,None,None
1619134,"Driss El-Jabli",27,"Morocco",32,187,None,"Right","D",415000,None,None
1103558,"Marouane Ouhrou",23,"Morocco",21,178,None,"Left","D",335000,None,None
919474,"Saad Ait Khorsa",31,"Morocco",4,186,None,"Left","D",365000,None,None
1004426,"Ayman Chabani",,"Morocco",,189,None,"Right","",180000,None,None
1011278,"Reda Mhannaoui",,"Morocco",,171,None,"Right","",220000,None,None
1140820,"Salaheddine Chihab",,"Morocco",,198,None,"Right","",970000,None,None
1997651,"Walid Lghrissi",,"Morocco",,,None,,"",,None,None
1845576,"Oussama Errahmany",,"Morocco",,195,None,"Both","",160000,None,None
2150417,"Adam   Brika",,,,,None,,"",,None,None
1936634,"Akram Khalifi",,,,,None,,"",,None,None
1168800,"Soufiane Benjdida",24,"Morocco",9,178,None,"Right","F",735000,None,None
1500985,"Mouad Hmamouchi",,"Morocco",20,,None,"Left","F",,None,None
2121452,"Zakaria Allaoui",19,"Morocco",17,,None,,"F",,None,None
961690,"Soulaïman Allouch",23,"Netherlands",11,174,None,"Right","M",500000,None,None
544156,"Anas Tahiri",30,"Morocco",19,179,None,"Right","M",420000,None,None
944009,"Kabelo Seakanyeng",32,"Botswana",7,171,None,"Right","M",390000,None,None
374560,"Amine Oudrhiri",33,"Morocco",95,184,None,"Right","M",265000,None,None
1545316,"Noureddine Oussama",24,"Morocco",6,180,None,"Right","M",440000,None,None
1528418,"Youssef Dalouzi",23,"Morocco",77,181,None,"Right","M",185000,None,None
919329,"Achraf Harmach",32,"Morocco",8,176,None,"Right","M",530000,None,None
1140935,"El Habib Brija",25,"Morocco",27,,None,,"M",340000,None,None
1140855,"Hamza Afsal",29,"Morocco",2,184,None,"Both","M",485000,None,None
1461681,"Nizar Guessous",21,"Morocco",23,174,None,"Left","M",,None,None
1461320,"Mohamed Loumim",24,"Morocco",24,,None,,"M",,None,None
1613042,"Issa M'bareck",21,"Mauritania",13,,None,,"M",,None,None
1482836,"Benjamin Tanimu",23,"Nigeria",28,175,None,"Right","D",245000,None,None
812947,"Kevin Yamga",29,"France",17,187,None,"Right","D",720000,None,None
1008599,"Abdelilah Madkour",25,"Morocco",29,,None,"Right","D",360000,None,None
826571,"Zakaria Hamadi",27,"Italy",3,175,None,"Left","D",285000,None,None
1004523,"Hamza Ait Allal",24,"Morocco",22,184,None,"Right","D",370000,None,None
316583,"Adil Rhaili",34,"Morocco",13,192,None,"Left","D",130000,None,None
1619134,"Driss El-Jabli",27,"Morocco",32,187,None,"Right","D",415000,None,None
