id,total_matches,total_goals,total_assists,total_yellow,total_second_yellow,total_red,goals_conceded,clean_sheets,win_rate,possession,passing_accuracy,shots_per_game,rating
"536879_Total",214,20,14,13,0,1,0,0,None,None,None,None,None
"519245_Total",3,4,0,0,0,0,0,0,None,None,None,None,None
"897139_Total",7,0,0,1,0,0,6,2,None,None,None,None,None
"885446_Total",26,0,0,1,0,0,28,8,None,None,None,None,None
"1338344_Total",7,1,1,1,1,0,0,0,None,None,None,None,None
"1338402_Total",3,0,0,0,0,0,0,0,None,None,None,None,None
"1338340_Total",12,1,0,1,0,0,0,0,None,None,None,None,None
"1297881_Total",7,2,1,0,0,0,0,0,None,None,None,None,None
"1203683_Total",12,1,0,0,0,0,0,0,None,None,None,None,None
"1338336_Total",10,1,0,0,1,0,0,0,None,None,None,None,None
"244921_Total",6,0,1,0,0,0,0,0,None,None,None,None,None
"1338946_Total",6,0,0,3,0,0,0,0,None,None,None,None,None
"1260898_Total",5,0,0,0,0,0,0,0,None,None,None,None,None
"799020_Total",30,1,0,3,0,1,0,0,None,None,None,None,None
"1133029_Total",11,5,1,2,0,0,0,0,None,None,None,None,None
"1338337_Total",7,0,0,0,0,0,0,0,None,None,None,None,None
"1203885_Total",1,0,1,0,0,0,0,0,None,None,None,None,None
"1293625_Total",6,0,0,0,0,0,0,0,None,None,None,None,None
"1256586_Total",9,0,0,3,0,0,0,0,None,None,None,None,None
"1338434_Total",9,0,0,1,0,0,10,3,None,None,None,None,None
"903847_Total",8,0,0,0,0,0,0,0,None,None,None,None,None
"902853_Total",5,0,0,0,0,0,6,2,None,None,None,None,None
"502657_Total",113,11,6,7,0,0,0,0,None,None,None,None,None
"234897_Total",9,0,0,2,0,0,0,0,None,None,None,None,None
"375626_Total",7,0,0,0,1,0,0,0,None,None,None,None,None
"625170_Total",55,10,9,0,0,0,0,0,None,None,None,None,None
"1260850_Total",2,0,0,0,0,0,0,0,None,None,None,None,None
"1338341_Total",7,0,0,0,0,0,0,0,None,None,None,None,None
"499513_Total",216,30,20,11,0,0,0,0,None,None,None,None,None
"736943_Total",40,1,0,7,0,0,0,0,None,None,None,None,None
"375629_Total",98,2,2,15,0,1,0,0,None,None,None,None,None
"262895_Total",271,48,52,13,1,0,0,0,None,None,None,None,None
"1268379_Total",8,1,0,2,0,1,0,0,None,None,None,None,None
"1338250_Total",10,0,1,0,0,0,0,0,None,None,None,None,None
"902800_Total",12,0,0,2,0,0,13,4,None,None,None,None,None
"1338253_Total",11,4,0,0,0,0,0,0,None,None,None,None,None
"1338805_Total",9,1,0,1,0,0,0,0,None,None,None,None,None
"1211423_Total",10,0,1,1,0,0,0,0,None,None,None,None,None
"1207194_Total",13,1,2,1,0,1,0,0,None,None,None,None,None
"689433_Total",10,0,2,1,0,0,0,0,None,None,None,None,None
"949538_Total",18,0,0,2,0,0,0,0,None,None,None,None,None
"925830_Total",15,0,0,1,0,0,0,0,None,None,None,None,None
"1207223_Total",10,0,0,1,0,0,0,0,None,None,None,None,None
"1211503_Total",5,0,0,0,0,0,0,5,None,None,None,None,None
"1338256_Total",8,0,0,1,0,0,0,0,None,None,None,None,None
"1261669_Total",4,1,0,0,0,0,0,0,None,None,None,None,None
"1229756_Total",6,0,0,0,0,0,11,0,None,None,None,None,None
"902833_Total",8,0,0,0,0,0,0,0,None,None,None,None,None
"1211424_Total",10,3,0,1,0,0,0,0,None,None,None,None,None
"1274437_Total",16,1,1,0,0,0,0,0,None,None,None,None,None
"902816_Total",11,0,0,0,0,0,0,0,None,None,None,None,None
"1274414_Total",12,0,1,1,0,0,0,0,None,None,None,None,None
"238120_Total",24,4,3,1,0,0,0,0,None,None,None,None,None
"1203860_Total",7,1,1,1,0,0,0,0,None,None,None,None,None
"733894_Total",22,2,1,2,0,0,0,0,None,None,None,None,None
"211632_Total",10,1,0,1,0,0,0,0,None,None,None,None,None
"859897_Total",37,1,2,4,0,0,0,0,None,None,None,None,None
"996378_Total",14,0,1,1,0,0,0,0,None,None,None,None,None
"1338252_Total",12,6,1,2,0,0,0,0,None,None,None,None,None
"1173700_Total",21,1,0,4,0,1,0,0,None,None,None,None,None
"1261753_Total",4,0,0,1,0,0,0,0,None,None,None,None,None
"1261675_Total",11,2,1,0,0,0,0,0,None,None,None,None,None
"1172369_Total",41,8,7,3,0,0,0,0,None,None,None,None,None
"857712_Total",14,1,0,2,0,0,0,0,None,None,None,None,None
"902848_Total",17,2,0,1,0,0,0,0,None,None,None,None,None
"1338251_Total",10,0,0,2,0,0,0,0,None,None,None,None,None
