id,total_matches,total_goals,total_assists,total_yellow,total_second_yellow,total_red,goals_conceded,clean_sheets,win_rate,possession,passing_accuracy,shots_per_game,rating
"660041_Total",251,58,36,26,0,0,0,0,None,None,None,None,None
"711281_Total",168,23,21,22,1,1,0,0,None,None,None,None,None
"518802_Total",219,8,11,11,0,0,0,0,None,None,None,None,None
"689431_Total",169,38,30,24,0,2,0,0,None,None,None,None,None
"631508_Total",114,16,12,16,0,0,0,0,None,None,None,None,None
"742502_Total",119,12,6,15,0,0,0,0,None,None,None,None,None
"872090_Total",81,17,6,8,0,0,0,0,None,None,None,None,None
"518801_Total",193,13,8,50,3,4,0,0,None,None,None,None,None
"635927_Total",42,4,1,6,0,1,0,0,None,None,None,None,None
"904465_Total",39,3,3,3,0,1,0,0,None,None,None,None,None
"734155_Total",161,10,14,29,2,1,0,0,None,None,None,None,None
"1299944_Total",5,0,0,1,0,0,0,0,None,None,None,None,None
"1055358_Total",67,4,6,5,0,0,0,0,None,None,None,None,None
"366744_Total",251,51,27,32,2,2,0,0,None,None,None,None,None
"799742_Total",111,14,8,5,0,0,0,0,None,None,None,None,None
"816064_Total",125,2,5,23,0,1,0,0,None,None,None,None,None
"1134249_Total",11,0,0,1,0,0,9,4,None,None,None,None,None
"738951_Total",107,17,8,24,0,1,0,0,None,None,None,None,None
"556272_Total",129,0,0,14,0,0,107,51,None,None,None,None,None
"844795_Total",54,9,1,2,0,0,0,0,None,None,None,None,None
"737182_Total",128,2,17,15,1,0,0,0,None,None,None,None,None
"593405_Total",112,14,24,7,0,1,0,0,None,None,None,None,None
"1232068_Total",39,4,0,3,0,0,0,0,None,None,None,None,None
"627926_Total",123,5,5,12,0,0,0,0,None,None,None,None,None
"1055193_Total",57,0,1,4,0,0,0,0,None,None,None,None,None
"1039603_Total",83,18,4,14,0,1,0,0,None,None,None,None,None
"834876_Total",91,6,1,16,0,1,0,0,None,None,None,None,None
"1150961_Total",9,0,0,2,0,0,0,0,None,None,None,None,None
"507134_Total",156,3,6,28,1,1,0,0,None,None,None,None,None
"1203514_Total",1,0,0,0,0,0,0,0,None,None,None,None,None
"838828_Total",117,5,10,16,1,0,0,0,None,None,None,None,None
"844300_Total",40,14,5,9,0,0,0,0,None,None,None,None,None
"920971_Total",67,7,1,6,0,0,0,0,None,None,None,None,None
"717213_Total",164,7,10,21,0,1,0,0,None,None,None,None,None
"667994_Total",70,1,5,7,0,1,0,0,None,None,None,None,None
"981522_Total",25,0,0,3,0,0,22,9,None,None,None,None,None
"811084_Total",73,2,2,12,0,1,0,0,None,None,None,None,None
"508643_Total",206,37,35,12,0,1,0,0,None,None,None,None,None
"913361_Total",124,29,6,10,1,0,0,0,None,None,None,None,None
"262953_Total",212,16,5,55,3,1,0,0,None,None,None,None,None
"290768_Total",292,61,18,30,0,0,0,0,None,None,None,None,None
"339552_Total",95,22,20,16,0,1,0,0,None,None,None,None,None
"1091104_Total",5,0,0,1,0,0,0,0,None,None,None,None,None
"682847_Total",71,2,0,3,0,0,0,0,None,None,None,None,None
"308265_Total",291,21,26,15,0,0,0,0,None,None,None,None,None
"1176891_Total",46,4,1,3,0,0,0,0,None,None,None,None,None
"1317548_Total",4,0,0,0,0,0,0,0,None,None,None,None,None
"1176890_Total",57,1,0,8,1,0,0,0,None,None,None,None,None
"721818_Total",44,0,1,5,0,1,0,0,None,None,None,None,None
"863795_Total",33,1,2,7,0,0,0,0,None,None,None,None,None
"858584_Total",108,9,8,10,1,1,0,0,None,None,None,None,None
"712126_Total",64,4,2,11,0,2,0,0,None,None,None,None,None
"689435_Total",152,0,10,28,0,3,0,0,None,None,None,None,None
