id,name,age,nationality,height,preferred_foot,preferred_positions,market_value,current_club_id
847308,Pape Ousmane Sakho,29,Senegal,173,right,Left Winger,€75k,2068
679259,Víctor Ábrego,28,Bolivia,176,right,Centre-Forward,€300k,2068
904603,Othmane Chraibi,22,Morocco,174,YSI Football,Defensive Midfield,€275k,2068
569755,Abdellah Khafifi,32,Morocco,183,right,Centre-Back,€600k,2068
518804,Youssef Belammari,27,Morocco,183,left,Left-Back,€1.50m,2068
969934,Bouchaib Arrassi,25,Morocco,0,right,Centre-Back,€325k,2068
238634,Adam Ennaffati,31,Morocco,180,right,Left Winger,€900k,2068
371606,Abdelkarim Baadi,29,Morocco,173,left,Right-Back,€325k,2068
988205,Mehdi Mchakhchekh,21,Morocco,183,right,Centre-Back,€400k,2068
245193,Badr Benoun,32,Morocco,193,right,Centre-Back,€900k,2068
913377,Yassine Zoubir,23,Morocco,192,right,Goalkeeper,€10k,2068
707310,Ismail Khafi,30,Morocco,183,,Centre-Forward,€450k,2068
318904,Sabir Bougrine,29,Morocco,174,right,Attacking Midfield,€700k,2068
1079652,Ayoub Ait Khassou,21,Morocco,0,right,Centre-Back,€50k,9099
876730,Nouh Mohamed El Abd,25,Mauritania,186,right,Centre-Back,€250k,9099
711572,Zineddine Derrag,26,Morocco,171,right,Defensive Midfield,€900k,9099
199704,Yunis Abdelhamid,38,Morocco,190,left,Centre-Back,€350k,9099
507374,Ahmed Hammoudan,34,Morocco,177,right,Left Winger,€400k,9099
573065,Tó Carneiro,30,Angola,170,left,Left-Back,€500k,9099
859133,Ayoub El Khayati,27,Morocco,191,right,Goalkeeper,€400k,9099
371211,Hamza Khabba,29,Morocco,187,right,Centre-Forward,€550k,9099
553100,Mohamed Rabie Hrimat,31,Morocco,186,right,Defensive Midfield,€1.50m,9099
1105266,Zakaria Ajoughlal,24,Morocco,0,left,Attacking Midfield,€50k,9099
238997,Ahmed Reda Tagnaouti,29,Morocco,192,right,Goalkeeper,€700k,9099
660041,Youssef El Fahli,28,Morocco,182,right,Left Winger,€1.00m,9099
711281,Abdelfettah Hadraf,27,Morocco,0,,Central Midfield,€500k,9099
518802,Anas Bach,27,Morocco,176,right,Defensive Midfield,€1.50m,9099
689431,Reda Slim,26,Morocco,176,right,Right Winger,€1.30m,9099
631508,Khalid Aït Ouarkhane,25,Morocco,179,right,Attacking Midfield,€800k,9099
742502,Achref Habbassi,24,Tunisia,177,left,Right Winger,€325k,9099
872090,Mouhcine Bouriga,25,Morocco,183,right,Centre-Forward,€200k,9099
518801,Marouane Louadni,30,Morocco,190,right,Centre-Back,€600k,9099
635927,Fallou Mendy,25,Senegal,185,left,Centre-Back,€350k,9099
904465,Taoufik Razko,23,Morocco,0,right,Central Midfield,€250k,9099
734155,Jamal Ech-Chamakh,25,Morocco,0,,Left-Back,€550k,9099
1299944,Destin Maniriho,26,Burundi,0,,Left Winger,€10k,9099
1055358,Soulaimane El Bouchqali,22,Morocco,182,right,Attacking Midfield,€450k,9099
366744,Lamine Diakité,34,Cote d'Ivoire,184,left,Left Winger,€325k,6371
799742,Salaheddine Benyachou,26,Morocco,168,right,Right Winger,€200k,6371
816064,Mouad Bahsain,26,Morocco,180,left,Left-Back,€450k,6371
1134249,Taha Benrhozil,19,Morocco,180,right,Goalkeeper,€200k,6371
738951,Amine Souane,24,Morocco,182,right,Right Winger,€1.00m,6371
556272,Ayoub Lakred,30,Morocco,0,right,Goalkeeper,€350k,6371
844795,Ali El Harrak,28,Morocco,0,both,Centre-Forward,€300k,6371
737182,Oussama Soukhane,26,Morocco,0,left,Left-Back,€650k,6371
593405,Ismail Moutaraji,25,Morocco,183,left,Attacking Midfield,€350k,6371
1232068,Soufiane Tazi,21,Morocco,181,right,Central Midfield,€600k,6371
627926,Hodifa El Mahssani,26,Morocco,175,right,Right-Back,€650k,6371
1055193,Yassine Amhih,22,Morocco,0,,Centre-Back,€400k,6371
1039603,Mohamed El Badoui,26,Morocco,184,right,Centre-Forward,€300k,6371
834876,Amine Farhane,27,Morocco,189,right,Centre-Back,€275k,6371
1150961,Anas El Makkaoui,20,Morocco,181,both,Defensive Midfield,€125k,6371
507134,Amine El Msane,31,Morocco,0,left,Defensive Midfield,€600k,6371
1203514,Arthur Gitego,23,Rwanda,190,,Centre-Forward,€50k,6371
838828,Moncef Amri,32,Morocco,180,left,Left-Back,€325k,6371
844300,Ayoub Mouloua,23,Morocco,183,right,Centre-Forward,€700k,6371
920971,Chouaib Faidi,26,Morocco,0,right,Left Winger,€225k,6371
717213,Anas Serrhat,29,Morocco,178,,Defensive Midfield,€750k,6371
667994,Oussama Raoui,23,Morocco,176,right,Right-Back,€225k,6371
981522,Rachid Ghanimi,24,Morocco,189,,Goalkeeper,€400k,6371
811084,Abdessamad Mahir,28,Morocco,176,right,Central Midfield,€650k,6371
508643,Soulyman Allouch,23,Netherlands,174,right,Left Winger,€550k,3282
913361,Soufiane Benjdida,24,Morocco,178,right,Centre-Forward,€700k,3282
262953,Adil Rhaili,34,Morocco,192,left,Centre-Back,€125k,3282
290768,Kevin Yamga,29,France,187,right,Right Winger,€700k,3282
339552,Kabelo Seakanyeng,32,Botswana,175,right,Left Winger,€400k,3282
1091104,Nizar Guessous,22,Morocco,174,left,Attacking Midfield,€10k,3282
1341102,Walid Laghrissi,17,Morocco,0,,Goalkeeper,,3282
682847,Benjamin Tanimu,23,Nigeria,185,right,Centre-Back,€225k,3282
308265,Anas Tahiri,30,Morocco,179,right,Central Midfield,€450k,3282
1176891,Youssef Dalouzi,23,Morocco,182,both,Right Winger,€175k,3282
1317548,Akram Khlifi,21,Morocco,0,,Midfield,€10k,3282
1176890,Oussama Noureddine,24,Morocco,180,right,Defensive Midfield,€400k,3282
721818,Reda Mhannaoui,26,Morocco,171,right,Right-Back,€225k,3282
863795,Marouane Ouhrou,23,Morocco,178,left,Left-Back,€325k,3282
858584,Hamza Afsal,29,Morocco,184,both,Central Midfield,€500k,3282
712126,Aymane Chbani,27,Morocco,189,right,Centre-Back,€200k,3282
689435,Abdelilah Madkour,25,Morocco,0,right,Right-Back,€350k,3282
1174262,Driss El Jabli,27,Morocco,187,right,Centre-Back,€400k,3282
1115476,Zakaria Allaoui,19,Morocco,0,right,Centre-Forward,€10k,3282
367149,Achraf Harmach,32,Morocco,176,,Central Midfield,€500k,3282
1344495,Privat Djéssan Bi,22,Cote d'Ivoire,182,right,Centre-Forward,€10k,3282
1235905,Oussama Errahmany,22,Morocco,195,both,Goalkeeper,€175k,3282
255642,Saad Ait Khorsa,31,Morocco,186,left,Centre-Back,€350k,3282
692591,Hamza Ait Allal,25,Morocco,184,right,Right-Back,€350k,3282
1370739,Adam Brika,0,Morocco,0,,Midfield,€250k,3282
306668,Amine Oudrhiri,33,Morocco,184,right,Defensive Midfield,€275k,3282
1091105,Mohamed Loumim,24,Morocco,0,,Attacking Midfield,€10k,3282
356586,Salaheddine Chihab,32,Morocco,198,right,Goalkeeper,€1.00m,3282
1139810,Issa M'Bareck,21,Mauritania,0,,Attacking Midfield,€10k,3282
1266261,Mouad Hmamouchi,0,Morocco,0,left,Right Winger,€10k,3282
842564,El Habib Brija,25,Morocco,0,,Attacking Midfield,€350k,3282
343949,Zakaria Hamadi,27,Italy,182,left,Left-Back,€300k,3282
1055339,Redouan Ait Lamkadem,28,Morocco,175,both,Left Midfield,€500k,79389
713000,Yassine El Khalej,26,Morocco,190,right,Centre-Back,€300k,79389
235602,Abderahmane El Houasli,41,Morocco,185,right,Goalkeeper,€25k,79389
1332783,Zoubir Housni,19,Morocco,174,right,Left Winger,€25k,79389
1175868,Souhayl Zamrat,23,Morocco,18,left,Attacking Midfield,€150k,79389
1267107,Ayoub Achab,23,Morocco,185,right,Defensive Midfield,€10k,79389
727209,Banfa Sylla,29,Cote d'Ivoire,183,right,Defensive Midfield,€200k,79389
667999,Anas Nanah,22,Morocco,177,left,Left-Back,€225k,79389
1245251,Zakaria Kassary,19,Morocco,0,right,Central Midfield,€150k,79389
1134255,Fouad Zahouani,19,Morocco,180,left,Left-Back,€1.00m,79389
904578,Hassan Aqboub,21,Morocco,173,both,Left Winger,€100k,79389
943495,Tahar Ahmed El Khalej,28,Portugal,191,left,Centre-Back,€350k,79389
1066475,Youssef Kajai,27,Morocco,189,right,Centre-Back,€450k,79389
1267109,Youness Dahmani,25,Morocco,0,,Left Winger,€250k,79389
276255,Yacine Bammou,34,Morocco,189,right,Centre-Forward,€225k,79389
869457,Walid Hasbi,21,Morocco,198,right,Goalkeeper,,79389
1430198,Salim Ghazzani,22,Morocco,0,,Right Winger,€25k,79389
593478,Hamza Bousqal,24,Morocco,0,,Defensive Midfield,€25k,79389
1074351,Hossam Essadak,20,Morocco,180,left,Attacking Midfield,€1.00m,79389
537209,Hamza Regragui,28,Morocco,190,both,Centre-Back,€350k,79389
1180814,Khalid Kasbi,18,Morocco,185,right,Centre-Back,€50k,79389
1443774,Zakaria Aiada,26,Morocco,0,,Right-Back,€10k,79389
848947,Danny,25,Portugal,176,right,Attacking Midfield,€125k,79389
667966,Mohamed Amine Essahel,22,Morocco,0,right,Attacking Midfield,€500k,79389
245346,Brahim El Bahraoui,33,Morocco,177,,Centre-Forward,€200k,79389
64490,Ilias Haddad,36,Netherlands,187,right,Centre-Back,€150k,79389
708663,Tiago Lopes,26,Portugal,185,right,Centre-Forward,€25k,79389
1443785,Ahmed Aboulfath,28,Morocco,0,,Attack,€10k,79389
667992,Reda Asmama,23,Morocco,192,right,Goalkeeper,€50k,79389
239291,Abdelkabir El Ouadi,32,Morocco,168,right,Left Winger,€250k,79389
1134252,Adam Chakir,19,Morocco,173,right,Central Midfield,€25k,79389
1246533,Taha Majni,18,Morocco,187,right,Centre-Back,€250k,79389
1028119,Youness Akharraz,21,Morocco,0,right,Right-Back,€500k,79389
1055313,Zineddine Brighet,23,Morocco,190,right,Defensive Midfield,€10k,79389
1180811,Adam Baallal,18,Morocco,0,,Central Midfield,€50k,79389
926103,Yassine Zraa,25,Morocco,183,right,Centre-Forward,€75k,79389
1091486,Nasreddine Moustaghfir,22,Morocco,190,,Centre-Forward,€75k,79389
238952,Soulaiman El Amrani,28,Morocco,181,,Centre-Back,€400k,22935
1371032,Akram Haimoud,21,Morocco,179,left,Left-Back,€10k,22935
913644,Zakary Lamgahez,22,France,185,right,Centre-Back,€150k,22935
926806,Abdallah Boukhanfer,27,Morocco,185,left,Attacking Midfield,€250k,22935
352125,Nassim Ouammou,32,France,181,left,Left-Back,€175k,22935
1322435,Younes El Amali,21,Morocco,178,left,Left-Back,€25k,22935
789533,Walid Jarmouni,25,France,189,left,Centre-Forward,€400k,22935
353473,Jalal Tachtach,31,Morocco,0,,Central Midfield,€450k,22935
709481,Ayoub Yousfi,22,Spain,179,left,Attacking Midfield,€50k,22935
908118,Badreddine Octobre,25,Morocco,0,right,Defensive Midfield,€10k,22935
1036559,Badreddine Abyir,27,Morocco,0,left,Goalkeeper,€350k,22935
918020,Fahd Bendahmane,24,Morocco,175,right,Centre-Forward,€300k,22935
292309,Hicham El Majhed,34,Morocco,193,right,Goalkeeper,€150k,22935
1110587,Abdelali Ait Brayim,22,Morocco,0,left,Attacking Midfield,€125k,22935
1174677,Zakaria Ami,23,Morocco,176,,Defensive Midfield,€400k,22935
642295,Rodrigue Kossi Fiogbé,25,Benin,181,right,Defensive Midfield,€225k,22935
1184401,Assane Bèye,25,Senegal,180,left,Centre-Back,€400k,22935
467571,Fred Dembi,30,Congo,184,right,Defensive Midfield,€300k,22935
1327935,Hamza Moumadi,20,Morocco,0,,Central Midfield,€25k,22935
1337458,Baba Bello Ilou,20,Cameroon,185,right,Centre-Forward,€225k,22935
920577,Aziz Kaidi,29,Morocco,183,right,Left Winger,€200k,22935
1194144,Mehdi Akoumi,19,Morocco,180,right,Central Midfield,€125k,22935
1153106,Ilyass Motik,20,Morocco,192,right,Goalkeeper,€100k,22935
1233132,Ismail Hrila,21,Morocco,189,right,Centre-Back,€125k,22935
1270327,Hamza El Belghyty,20,Morocco,170,right,Midfield,€10k,22935
1338486,Ayman Tarrazi,20,Morocco,0,,Right-Back,€275k,22935
182912,Ange-Freddy Plumain,30,Guadeloupe,184,right,Left Winger,€325k,22935
975918,Mohamed Bakhkhach,23,Morocco,0,,Left Winger,€400k,22935
491280,Euclides Cabral,26,Portugal,179,right,Right-Back,€400k,22935
1134278,Mohamed Amine Katiba,19,Morocco,181,right,Defensive Midfield,€550k,22935
593395,Abderrahmane Kernane,25,Morocco,186,left,Goalkeeper,€25k,22944
1263250,Anas Mkhair,22,Morocco,188,,Midfield,€25k,22944
823069,Imad Askar,27,Morocco,190,right,Goalkeeper,€25k,22944
1258563,Oussama Ichou,20,Morocco,0,,Central Midfield,€25k,22944
518828,Saad El Morsli,27,Morocco,170,left,Left Winger,€450k,22944
1258564,Anas Soufeir,24,Morocco,179,right,Right-Back,€75k,22944
1065548,Aboubacar Sylla,21,Cote d'Ivoire,190,,Defender,€10k,22944
244941,Hamza Semmoumy,33,Morocco,174,right,Right-Back,€50k,22944
1097559,Anass Eddaou,26,Morocco,172,right,Left Winger,€250k,22944
846437,Salaheddine Errahouli,23,Morocco,0,,Right Winger,€550k,22944
858910,Yassine Kordani,34,Morocco,188,right,Centre-Back,€150k,22944
908108,Ayman Hadry,25,Morocco,0,,Right-Back,€25k,22944
1235904,Yasser Ezzine,21,Morocco,184,left,Left-Back,€200k,22944
312825,Fred Ngoma,28,Congo,173,,Attacking Midfield,€250k,22944
1233335,Moriba Traoré,22,Mali,168,both,Central Midfield,€25k,22944
836467,Abderrahmane Qassaq,27,Morocco,175,right,Attacking Midfield,€400k,22944
712125,Anouar Tarkhatt,28,Morocco,182,both,Centre-Back,€450k,22944
203755,Sofian El Moudane,31,France,178,right,Attacking Midfield,€350k,22944
182885,Mohamed Chemlal,30,France,170,right,Attacking Midfield,€450k,22944
364239,Moussa Koné,28,Senegal,175,right,Centre-Forward,€500k,22944
1235902,Ahmed El Houari,21,Morocco,178,,Attacking Midfield,€250k,22944
848420,Walid Rhailouf,27,Morocco,186,,Central Midfield,€375k,22944
681726,Hamza Hamiani,31,Morocco,187,right,Goalkeeper,€500k,22944
902847,Faraji Karmoune,28,Morocco,186,both,Right-Back,€350k,22944
860299,Charki El Bahri,32,Morocco,0,,Centre-Forward,€300k,22944
929321,Karim L'Koucha,25,Morocco,0,,Right Winger,€350k,22944
1256643,Anas Samoudi,18,Morocco,0,right,Right Winger,€50k,22944
650001,Marwane Elaz,29,Morocco,172,,Left Winger,€75k,22944
842528,Karim El Bounagate,25,Morocco,189,left,Centre-Back,€225k,30625
484572,Anass Nouader,27,Morocco,182,,Centre-Back,€275k,30625
234836,Youssef Anouar,35,Morocco,165,right,Left Winger,€300k,30625
239127,Larbi Naji,35,Morocco,185,right,Defensive Midfield,€400k,30625
1340455,Yassine Senhaji,19,Morocco,181,right,Centre-Forward,€25k,30625
1340454,Soufiane Taher,21,Morocco,187,right,Goalkeeper,€10k,30625
