tm_id,tm_name,sofascore_id,sofascore_name,match_score
238120,Ayoub Benaadi,2161833.0,Ayoub Benaadi ,1.0
1203860,Yassine Jabrane,2265493.0,Yassine Jabrane,1.0
733894,Younes El Khafi,1014438.0,Younes El Khafi,1.0
211632,Youssef Fahmi,2161829.0,Youssef Fahmi,1.0
859897,Mohssine Abba,1140863.0,Mohssine Abba,1.0
996378,Hamza Jananallah,1387222.0,Hamza Janan Allah,0.97
1338252,Mohamed Adjar,2161839.0,Mohamed Adjar,1.0
1173700,Hicham Ait Brayem,1525302.0,Hicham Ait Brahim,0.88
1261753,Omar Ouddah,2265485.0,Omar Ouddah,1.0
1261675,Reda Abardi,1923105.0,Reda Abardi,1.0
1172369,Mohamed Habbali,1525311.0,Mohamed Habbali,1.0
857712,Charaf-Eddine Boulahroud,1103074.0,Charaf-Eddine Boulahroud,1.0
902848,Soufiane Jazouli,1525321.0,Soufiane Jazouli,1.0
1338251,Anass Aziz,2161831.0,Anass Aziz,1.0
